,gene,logFC,p_value,p_value_adj
298,302,0.07211573588012053,0.6111310951426188,0.9524468553832373
299,303,0.165345382204301,0.4075850601535339,0.9524468553832373
300,304,0.1378009774987279,0.3085067512661498,0.9322097211198984
301,305,0.04612044442952193,0.7524471008917459,0.9649329834578789
302,306,0.22581443150240765,0.13608558506407853,0.7720346367072229
303,307,0.2649331806940517,0.07556626249932487,0.604875464716377
304,308,0.08166509671044696,0.5366722773924684,0.9524468553832373
305,309,0.06445376107552268,0.7192524181027619,0.961543129865493
306,310,-0.1419641228625253,0.2269444068963491,0.8817237233316769
307,311,0.905200746798162,0.0037911223071569857,0.10267928209233468
308,312,-0.07189744473310862,0.47889638952532176,0.9524468553832373
309,313,0.05836310768044105,0.663850813615027,0.9555205002007683
310,314,0.2458544822567435,0.07528483672079724,0.6037318302451776
311,315,0.15834280139375734,0.21180393014414833,0.8671607118640415
312,316,0.07495041987429629,0.6520598030949387,0.9545256686590837
313,317,0.10683443015508154,0.49086931983815074,0.9524468553832373
314,318,0.06593482842449919,0.5984899657463144,0.9524468553832373
315,319,-0.14029041284070515,0.13035795416487075,0.7603045910924227
316,320,0.09767139537221302,0.5445620675352774,0.9524468553832373
317,321,0.0477552148852092,0.6028243150285375,0.9524468553832373
318,322,0.058836741171931634,0.5436207922224034,0.9524468553832373
319,323,0.04998325228210598,0.6762637155802891,0.9576533574886581
320,324,0.13626996888017778,0.3534368890403652,0.9471062143054727
321,325,0.11389318121353362,0.3660304044253172,0.948216852004421
322,326,0.15643966745933122,0.19463632687073473,0.8523578279445698
323,327,0.30494141703754996,0.11827251419431062,0.7338524916405667
324,328,0.1050578027240747,0.39110420841581195,0.9524468553832373
325,329,0.11290009592208819,0.3155562282718031,0.9338299643828311
326,330,0.16964283446456613,0.3120709571685445,0.9332739655248347
327,331,0.012648199634375176,0.918478128153117,0.9842924278403632
328,332,0.04521390315137258,0.6311136219664669,0.9524468553832373
329,333,0.05072894125978973,0.6965597174176441,0.9606935504388976
330,334,0.12007668589458798,0.37291808960652517,0.9498287530132346
331,335,0.07727440063591498,0.4769782373245056,0.9524468553832373
332,336,0.040844986975350966,0.7168072325319088,0.9613477364464499
333,337,0.07686146040494926,0.48783996386468775,0.9524468553832373
334,338,0.08270081827190177,0.5905107686314528,0.9524468553832373
335,339,-0.07355026920245346,0.5389722653285687,0.9524468553832373
336,340,0.05999173301703796,0.651942897475998,0.9545256686590837
337,341,0.2242915927051661,0.04876279536131212,0.4903591921348372
338,342,-0.008393368848722757,0.9462539320221495,0.9917078429903667
339,343,0.0834045887304722,0.5686629815742573,0.9524468553832373
340,344,0.012103870684606971,0.9162305844827597,0.9841213221628344
341,345,0.05473141320621786,0.7357620787458619,0.9633308763953541
342,346,0.008006457817562707,0.9410655862735895,0.9900963202135982
343,347,-0.03215911266956105,0.7903461241618144,0.9671067030021149
344,348,0.1459265119158642,0.342538565755956,0.9434062868147465
345,349,0.46461831099514805,0.10749887618383167,0.7062862001167387
346,350,0.8342059754566834,0.011444814633223657,0.20673718348099757
347,351,0.11815691680173122,0.34150122281745865,0.9432310197930084
348,352,0.3664458305016858,0.008081451204817968,0.16741177989077266
349,353,0.11801902935767059,0.39486979516900544,0.9524468553832373
350,354,0.11292232012876277,0.2914157503964597,0.9270085543838799
351,355,-0.5482623452283641,0.23963748096932125,0.890019079820832
352,356,-0.014458456219800991,0.8974001529971207,0.9804109404250726
353,357,0.4029284892980566,0.13255096328684357,0.7643952421724685
354,358,0.009197684026354791,0.9215912371272851,0.9854833846659271
355,359,0.036983420464455186,0.7052064571002066,0.9610930692947681
356,360,0.26930522945716623,0.2622080660232039,0.9120300864330428
357,361,-0.059723967601102906,0.7103187892132783,0.9610930692947681
358,362,0.12826053532228168,0.31849795867569863,0.9351182804419965
359,363,0.0464609796346129,0.572247379217116,0.9524468553832373
360,364,0.2568767634785688,0.1545322398923174,0.8005110403418618
361,365,0.15861088672434853,0.32815356543604646,0.9382577705847408
362,366,0.06008586189862747,0.5897066745936732,0.9524468553832373
363,367,0.049757021596419024,0.6918918370531615,0.9594623837770476
364,368,0.11613188387195941,0.2926467999780811,0.9274123819449661
365,369,-0.10887911876795214,0.4506100376216654,0.9524468553832373
366,370,0.07786163433306212,0.5479210899630943,0.9524468553832373
367,371,0.0038548381798708675,0.9764078121900716,0.9961096276586879
368,372,0.026582072263176992,0.8628993336107227,0.9764772389702149
369,373,0.03663977662169032,0.7069134258031851,0.9610930692947681
370,374,0.05349592497143131,0.7199723518472763,0.961543129865493
371,375,0.2876561335267698,0.21354910520174064,0.8696503393690073
372,376,0.03620919473848744,0.7088920361431968,0.9610930692947681
373,377,0.027319672879432474,0.8457015086962316,0.9741056662721238
374,378,0.04846509293270987,0.6724629464978782,0.9571130183902601
375,379,0.11745121067671833,0.3637135124742451,0.9477226792213216
376,380,0.09256164546778994,0.5629179262607142,0.9524468553832373
377,381,0.08399216842102117,0.5109785578464793,0.9524468553832373
378,382,0.36666661688885954,0.1814378065323129,0.8376245638860411
379,383,-0.22522588395013182,0.026735355813892456,0.35241644217646156
380,384,0.1439058286453761,0.3200576101678123,0.9361217229516577
381,385,0.0801439278949238,0.5128914021070412,0.9524468553832373
382,386,0.12683185167707905,0.3455676610850077,0.9454812551501954
383,387,0.06950984255464941,0.5971015888033306,0.9524468553832373
384,388,-0.04530090589036942,0.7031327595666028,0.9610930692947681
385,389,0.10622565519980923,0.2893968661366071,0.9270085543838799
386,390,0.03638673275154422,0.7548000467561646,0.9650182991734162
387,391,0.2634025247880997,0.24247171239047405,0.893363718678474
388,392,-0.23936414165737088,0.047318684084669486,0.4832593850007014
389,393,0.03234312380775933,0.808565041451379,0.9698856594527948
390,394,0.17922466962734607,0.2843927754263237,0.9260494098798683
391,395,0.11830513243906512,0.43899177231045583,0.9524468553832373
392,396,0.6656790435447212,0.004543320954017539,0.11506800034902787
393,397,0.01754436076098026,0.9420942772979704,0.9904848410486979
394,398,0.10423358618811285,0.4604633955378036,0.9524468553832373
395,399,0.07350996152302744,0.5824596663412658,0.9524468553832373
396,400,0.07096680650621176,0.6179522799909014,0.9524468553832373
397,401,0.058630788942272194,0.6536424104680352,0.9546079921375096
398,402,0.03421530237395966,0.8113894738391639,0.9705955804739863
399,403,0.050736230509372815,0.6645355120755434,0.9555205002007683
400,404,-0.13743519818730277,0.20583773255630455,0.8630663779488482
401,405,0.11166098060023277,0.45208983457922847,0.9524468553832373
402,406,0.24641039534508627,0.0609735594919319,0.5499175210926941
403,407,0.016657491592796392,0.8838172685424628,0.9780056633289411
404,408,0.6864812666012752,0.006489580983920603,0.14491099343243463
405,409,0.0046548818333897735,0.9721482561308142,0.995497351589827
406,410,0.05926107967081118,0.5856888390601886,0.9524468553832373
407,411,0.005478933042825956,0.9691036734212104,0.9948865440985298
408,412,0.20624477839618832,0.2207494257210424,0.8770783066439
409,413,-0.0946611437220435,0.339310290397695,0.943161856312568
410,414,0.04874891158698816,0.7123480123328554,0.961100474401412
411,415,-0.02539266146609956,0.7733343616336377,0.9651493269574187
412,416,-0.02504916585987406,0.8586583637619761,0.975820307299561
413,417,0.8125604471237221,0.007915608123763431,0.1660237162542734
414,418,0.060039432706301105,0.6076026820183109,0.9524468553832373
415,419,0.3953097266196749,0.06825304884195685,0.5770966677112892
416,420,0.10826379489176775,0.44131173850556793,0.9524468553832373
417,421,0.9625757742867076,0.017229094598123395,0.2651162570666316
418,422,-0.04387539470950823,0.7167033566365859,0.9613477364464499
419,423,0.10817072189610091,0.4372773106053114,0.9524468553832373
420,424,0.2908210665531102,0.09501779495477891,0.6734709553836544
421,425,0.08537555066659396,0.4863866587891469,0.9524468553832373
422,426,0.1077879932450648,0.3929936352243534,0.9524468553832373
423,427,-0.10622158661375795,0.3963826104325332,0.9524468553832373
424,428,0.1976693765225776,0.1739584956097343,0.8333175079969116
425,429,0.054825817679793026,0.5979958723660264,0.9524468553832373
426,430,0.09178341916791863,0.5853987694181886,0.9524468553832373
427,431,0.07361433258024365,0.6305739954959787,0.9524468553832373
428,432,0.2756531964536878,0.11558577673257599,0.7278390622465308
429,433,-0.09207454398669918,0.48029039557294195,0.9524468553832373
430,434,0.13575597172010376,0.32663861117660054,0.938229897623349
431,435,0.20264530928608854,0.294303631543094,0.9275341974715318
432,436,0.2412589109756581,0.260111013838065,0.9089455560515204
433,437,0.20678271961985237,0.23154736272131538,0.8848973982400569
434,438,0.3232008921011834,0.07242713969065577,0.5935469900523823
435,439,-0.661546508986802,8.673295558680633e-05,0.005901165239524625
436,440,0.11230771782998608,0.3775634075395632,0.9515591970863514
437,441,0.04296012236669121,0.764456856382553,0.9650182991734162
438,442,0.1142884322502914,0.2484706510232485,0.8983876299685037
439,443,1.4728355727402482,0.002119144800289573,0.06966011196291254
440,444,0.010092891320489142,0.9433370679333904,0.9908447267505514
441,445,0.1099101456876095,0.35802403377942116,0.9472042965703193
442,446,0.4632927624175371,0.0749484790935207,0.6020814260288688
443,447,0.2023539945960936,0.17530480982423913,0.8341364145077231
444,448,0.12044500915460216,0.6012458901783058,0.9524468553832373
445,449,0.4411544451281174,0.003379146307327901,0.09604743805413671
446,450,0.05853445201446529,0.6618954929962916,0.9552855581945319
447,451,0.19241706142182655,0.25904209540111156,0.9089455560515204
